City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,shingu,33.7333,135.9833,17.05,90,100,1.9,JP,1713787586
156,ellsworth,44.5434,-68.4195,4.57,61,0,6.17,US,1713787587
157,isafjordur,66.0755,-23.124,6.02,65,0,2.57,IS,1713787589
158,nagqu,31.5,92.0,7.08,13,93,8.31,CN,1713787591
159,tiassale,5.8983,-4.8283,35.1,52,98,0.63,CI,1713787592
160,havre,49.5833,0.3333,10.75,66,75,5.66,FR,1713787594
161,okhotsk,59.3833,143.3,-2.72,97,100,1.61,RU,1713787596
162,rikaze,29.25,88.8833,15.87,5,97,7.19,CN,1713787597
163,kapuskasing,49.4169,-82.4331,-5.03,61,99,2.7,CA,1713787599
164,petropavlovsk-kamchatsky,53.0452,158.6483,1.92,85,0,1.79,RU,1713787600
165,copala,16.65,-98.9833,24.86,58,56,0.6,MX,1713787602
166,amga,60.8953,131.9608,1.93,97,99,2.17,RU,1713787605
167,vorkuta,67.5,64.0,-9.63,90,100,5.42,RU,1713787607
168,ghat,24.9647,10.1728,38.59,5,27,9.05,LY,1713787608
169,argo,37.6333,22.7333,20.9,52,91,4.3,GR,1713787610
170,lata,40.1629,-8.3327,19.4,31,23,4.0,PT,1713787611
171,piste,20.7,-88.5833,20.65,98,24,0.55,MX,1713787613
172,olonkinbyen,70.9221,-8.7187,-1.77,63,0,8.22,SJ,1713787615
173,sitka,57.0531,-135.33,5.94,81,75,3.09,US,1713787616
174,nevel'sk,46.6733,141.8633,2.15,89,61,1.32,RU,1713787617
175,susuman,62.7833,148.1667,-10.57,96,38,0.89,RU,1713787619
176,pisco,-13.7,-76.2167,22.03,78,18,1.54,PE,1713787620
177,fethiye,36.6217,29.1164,20.93,57,85,4.49,TR,1713787622
178,prince rupert,54.3161,-130.3201,4.73,87,83,2.07,CA,1713787624
179,kalayaan,14.35,121.5667,24.66,85,11,3.61,PH,1713787625
180,leua,48.2156,18.6071,7.04,83,99,1.94,SK,1713787628
181,obock,12.25,43.0833,30.14,51,87,5.24,DJ,1713787630
182,korla,41.7597,86.1469,25.78,15,32,3.94,CN,1713787631
183,arish,31.1316,33.7984,22.83,51,9,5.39,EG,1713787633
184,soe,-9.8607,124.284,18.85,93,82,1.58,ID,1713787634
185,luderitz,-26.6481,15.1594,22.69,60,11,5.62,NA,1713787636
186,leninskiy,54.2781,37.4558,9.91,82,100,6.96,RU,1713787637
187,saint-pierre,-21.3393,55.4781,28.82,70,20,3.09,RE,1713787639
188,siuna,13.7332,-84.7773,22.54,95,38,0.83,NI,1713787640
189,puerto san jose,13.9256,-90.8244,26.88,81,6,1.18,GT,1713787642
190,remire-montjoly,4.9167,-52.2667,25.02,100,75,0.0,GF,1713787643
191,gressier,18.55,-72.5167,26.18,73,3,1.23,HT,1713787645
192,mahibadhoo,3.7833,72.9667,29.69,76,97,5.06,MV,1713787647
193,visakhapatnam,17.69,83.2093,31.54,60,27,5.72,IN,1713787471
194,damghan,36.1683,54.348,25.23,22,95,2.69,IR,1713787651
195,yarmouth,41.7057,-70.2286,8.38,62,0,8.94,US,1713787653
196,abra pampa,-22.7205,-65.697,12.19,30,1,2.42,AR,1713787655
197,piti village,13.4626,144.6933,28.49,79,40,4.63,GU,1713787656
198,zaigrayevo,51.8336,108.2703,2.6,64,23,1.08,RU,1713787658
199,nenjiang,49.1833,125.2167,9.51,85,94,2.23,CN,1713787660
200,fort-shevchenko,44.5086,50.263,15.88,75,95,5.24,KZ,1713787661
201,nuuk,64.1835,-51.7216,3.34,65,75,11.83,GL,1713787663
202,lompoc,34.6391,-120.4579,12.66,90,100,0.0,US,1713787664
203,sangin,32.0728,64.8359,28.52,12,7,3.35,AF,1713787666
204,ust'-ilimsk,58.0006,102.6619,1.36,98,100,1.34,RU,1713787668
205,greymouth,-42.4667,171.2,8.93,89,3,2.36,NZ,1713787670
206,sooke,48.3746,-123.7276,5.87,87,2,0.73,CA,1713787672
207,yujing,23.1249,120.4614,26.68,69,89,0.88,TW,1713787528
208,weno,7.4515,151.8468,27.97,83,75,0.0,FM,1713787676
209,wailua homesteads,22.0669,-159.378,21.44,78,20,7.72,US,1713787678
210,talnakh,69.4865,88.3972,-13.77,89,86,1.57,RU,1713787680
211,maintirano,-18.0667,44.0167,28.96,67,0,4.98,MG,1713787682
212,igarka,67.4667,86.5833,-7.21,79,100,2.68,RU,1713787683
213,utrik,11.2278,169.8474,27.75,79,100,8.22,MH,1713787685
214,machico,32.7,-16.7667,20.62,73,75,4.63,PT,1713787686
215,al jabin,14.704,43.599,21.09,45,78,5.38,YE,1713787688
216,peskovka,59.0448,52.3606,15.83,41,38,5.16,RU,1713787690
217,bodo,67.28,14.405,4.32,34,0,8.23,NO,1713787691
218,tebingtinggi,3.3285,99.1625,26.89,91,100,1.17,ID,1713787693
219,usogorsk,63.4106,48.6872,-0.19,77,100,5.07,RU,1713787696
220,vilyuysk,63.7553,121.6247,0.56,100,100,3.58,RU,1713787616
221,ndele,8.4109,20.6473,36.89,31,100,3.35,CF,1713787699
222,whitehorse,60.7161,-135.0538,1.84,64,12,5.81,CA,1713787700
223,rawlins,41.7911,-107.2387,6.94,53,0,7.2,US,1713787702
224,touros,-5.1989,-35.4608,28.84,76,99,4.83,BR,1713787703
225,shenkursk,62.1091,42.896,6.18,71,98,6.36,RU,1713787705
226,siavonga,-16.5382,28.7088,30.09,35,0,2.53,ZM,1713787706
227,carnarvon,-24.8667,113.6333,23.8,72,81,11.08,AU,1713787491
228,san andres,12.5847,-81.7006,28.01,78,20,3.6,CO,1713787708
